Participante,1. Qual a sua idade?,2. Estado civil:,3. Gênero: Como você se identifica?,4. Autoidentificação racial/étnica (escolha a opção que melhor descreve a sua identidade),5. Qual sua formação educacional:,6. Sua formação foi em instituição:,7. Você atua como:,8. Você atua no:,9. Quanto tempo você atua na Educação Infantil?,11. Você está ciente da inclusão do ensino da computação na educação básica como parte da Política Nacional de Educação Digital (PNED)?,"12. Você já participou de alguma capacitação e/ou formação, sobre o ensino da computação na Educação Básica?",13. É necessário que os professores recebam formações para lidar com a implementação da PNED e o ensino de Computação na Educação Básica:,14. Você possui interesse em participar de formações sobre o ensino da computação na Educação Básica?,15. Compreender sobre pensamento computacional permite que os alunos tenham um melhor desempenho no mundo do trabalho.,16. O pensamento computacional oferece aos estudantes uma base melhor para agir e participar em uma sociedade democrática.,17. É importante ensinar pensamento computacional na Educação Básica.,"18. Desenvolver o  pensamento computacional é tão importante quanto desenvolver habilidades de leitura, escrita e matemática.","19. O pensamento computacional pode ser incluído na sala de aula, permitindo que os alunos resolvam problemas.",20. O  pensamento computacional pode ser ensinado na sala de aula sem o uso de computadores ou outros recursos digitais.,21. O  pensamento computacional dá aos alunos habilidades para resolver problemas de maneira eficiente.,"22. Os professores são importantes para facilitar a educação em computação (por exemplo, discutir os perigos/potenciais dos algoritmos ou solicitar tarefas desafiadoras).",23. O  pensamento computacional ajuda a entender o potencial e as consequências das tecnologias digitais em nossa vida e sociedade.,24.  O pensamento computacional proporciona aos alunos habilidades valiosas no uso de dispositivos digitais.,25.  O pensamento computacional é relevante para o trabalho e a educação obrigatória deve focar no desenvolvimento dessa habilidade.,"26. Crianças pequenas expostas a dispositivos digitais antes da escola, já estão preparadas para uma sociedade digitalizada.","27. Eu tenho habilidades para aprender ferramentas de programação (como por exemplo, Scratch).","28. Eu me sinto confortável em aprender conceitos de computação (como algoritmos, decomposição, abstração).","29. Eu sei ensinar princípios de computação (como algoritmos, decomposição, abstração) em sala de aula.","30. Eu posso aprender princípios de computação (como algoritmos, decomposição e abstração) para resolver problemas.",31. Como você percebe a organização da prática pedagógica em relação ao pensamento computacional na educação infantil? ,32. Você pode dar um exemplo específico de uma ação pedagógica que você considera estar voltada para o desenvolvimento do pensamento computacional na educação infantil? 
P56,34 - 41 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Privada,Professor Regente,5,1 à 5 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,E necessário muito estudo e prática para que possamos aprender e ensinar com excelência. ,
P57,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Educador,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Talvez,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Discordo,Concordo,É NECESSARIO UMA CONSCIENTIZACAO PARA OS PROFESSORES.SOBRE.A IMPORTANCIA DO.PENSAMENTO COMPUTACIONAL.,
P58,42 - 49 anos,Solteiro(a),Feminino,Branco,Especialização,Pública,Professor Regente,4,Mais de 20 anos,Sim,Não,Concordo Totalmente,Talvez,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Discordo,Concordo,,
P59,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Professor Regente,4,Mais de 20 anos,Sim,Sim,Concordo,Talvez,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Indeciso,Indeciso,Indeciso,Indeciso,"O trabalho é possível, mas tem que ser adequado a faixa etária.",NÃO 
P60,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Professor Regente,5,Mais de 20 anos,Sim,Sim,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo Totalmente,Concordo,Concordo Totalmente,Indeciso,Concordo Totalmente,"Os professores nem sempre esta preparado para ministrar pensamento computacional p seus alunos .Necessitando de uma formação para atingir objetivos valiosos.
 ",Jogos e brincadeiras.
P61,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Professor Regente,4,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Como uma habilidade necessária para a sociedade digital na qual vivemos.,"Não é possível, pois não tenho a capacitação pedagogia necessária para desenvolver tal habilidade, além do pensamento computacional não ser contemplado na Educação Infantil."
P62,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Ambas,Professor Regente,4,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Indeciso,Discordo,Discordo,Concordo,Eu acho que seria melhor para a educação fundamental. O ensino básico tem outras prioridades como: aprender ler escrever e falar bem.,Não.
P63,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Supervisor,,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Concordo,Discordo,Concordo,,
P64,34 - 41 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Pública,Professor Regente,4,1 à 5 anos,Sim,Não,Concordo,Talvez,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Indeciso,Concordo,Concordo,Discordo,Discordo,Indeciso,Indeciso,Discordo,Concordo,Eu vejo a importância de aprender a forma correta do uso da tecnologia,Não sei 
P65,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Professor Regente,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Indeciso,Concordo,Seria interessante ter um sala com computadores para as crianças ,No momento não 
