Participante,1. Qual a sua idade?,2. Estado civil:,3. Gênero: Como você se identifica?,4. Autoidentificação racial/étnica (escolha a opção que melhor descreve a sua identidade),5. Qual sua formação educacional:,6. Sua formação foi em instituição:,7. Você atua como:,8. Você atua no:,9. Quanto tempo você atua na Educação Infantil?,11. Você está ciente da inclusão do ensino da computação na educação básica como parte da Política Nacional de Educação Digital (PNED)?,"12. Você já participou de alguma capacitação e/ou formação, sobre o ensino da computação na Educação Básica?",13. É necessário que os professores recebam formações para lidar com a implementação da PNED e o ensino de Computação na Educação Básica:,14. Você possui interesse em participar de formações sobre o ensino da computação na Educação Básica?,15. Compreender sobre pensamento computacional permite que os alunos tenham um melhor desempenho no mundo do trabalho.,16. O pensamento computacional oferece aos estudantes uma base melhor para agir e participar em uma sociedade democrática.,17. É importante ensinar pensamento computacional na Educação Básica.,"18. Desenvolver o  pensamento computacional é tão importante quanto desenvolver habilidades de leitura, escrita e matemática.","19. O pensamento computacional pode ser incluído na sala de aula, permitindo que os alunos resolvam problemas.",20. O  pensamento computacional pode ser ensinado na sala de aula sem o uso de computadores ou outros recursos digitais.,21. O  pensamento computacional dá aos alunos habilidades para resolver problemas de maneira eficiente.,"22. Os professores são importantes para facilitar a educação em computação (por exemplo, discutir os perigos/potenciais dos algoritmos ou solicitar tarefas desafiadoras).",23. O  pensamento computacional ajuda a entender o potencial e as consequências das tecnologias digitais em nossa vida e sociedade.,24.  O pensamento computacional proporciona aos alunos habilidades valiosas no uso de dispositivos digitais.,25.  O pensamento computacional é relevante para o trabalho e a educação obrigatória deve focar no desenvolvimento dessa habilidade.,"26. Crianças pequenas expostas a dispositivos digitais antes da escola, já estão preparadas para uma sociedade digitalizada.","27. Eu tenho habilidades para aprender ferramentas de programação (como por exemplo, Scratch).","28. Eu me sinto confortável em aprender conceitos de computação (como algoritmos, decomposição, abstração).","29. Eu sei ensinar princípios de computação (como algoritmos, decomposição, abstração) em sala de aula.","30. Eu posso aprender princípios de computação (como algoritmos, decomposição e abstração) para resolver problemas.",31. Como você percebe a organização da prática pedagógica em relação ao pensamento computacional na educação infantil? ,32. Você pode dar um exemplo específico de uma ação pedagógica que você considera estar voltada para o desenvolvimento do pensamento computacional na educação infantil? 
P87,50 anos ou mais,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Privada,Professor Regente,4,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Indeciso,Indeciso,Indeciso,Indeciso,Indeciso,Discordo Totalmente,Discordo,Concordo,Concordo,Indeciso,Indeciso,Discordo Totalmente,Indeciso,Indeciso,Discordo Totalmente,Indeciso,Eu não concordo na educação infantil ,Nao
P88,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Professor Regente,4,1 à 5 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Indeciso,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Deve ser um estúdio constante.,"Assistir vídeos com músicas e pedir para os alunos realizarem as atividades no computador de letras faltosas, vogais depois consoantes."
P89,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Graduação,Privada,Educador,5,6 à 10 anos,Sim,Não,Concordo,Talvez,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Uma boa opção ,Os professores podem utilizar jogos e brincadeiras para ensinar regras
P90,34 - 41 anos,Separado(a) ou divorciado(a),Feminino,Branco,Graduação,Privada,Educador,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,,
P91,42 - 49 anos,Casado(a) ou união estável,Feminino,Negro,Graduação,Privada,Educador,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Indeciso,Discordo,,
P92,42 - 49 anos,Solteiro(a),Feminino,Indígena,Graduação,Privada,Educador,5,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,,
P93,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Graduação,Privada,Professor Regente,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Indeciso,.,.
P94,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Ambas,Supervisor,5,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Indeciso,Indeciso,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Indeciso,Indeciso,Concordo,"Observo que na prática pedagógica isso já acontece, porém percebo que não compreendem esta ação como sendo um pensamento computacional. ","seguir uma trilha com diversas figuras, numeros e letras solicitando que a criança diga o nome, cante ou faça a leitura ao comando do professor ou com apoio de um dado pulando casas etc."
P95,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Ambas,Educador,4,1 à 5 anos,Não,Não,Concordo Totalmente,Sim,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,,"Acredito que não é necessário o ensino do pensamento computacional na educação infantil, pois tem educação básica para esse fim"
P96,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Educador,4,16 à 20 anos,Sim,Não,Concordo,Talvez,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Indeciso,Indeciso,Discordo,Indeciso,,
P97,26 - 33 anos,Solteiro(a),Feminino,Branco,Especialização,Pública,Professor Regente,4,6 à 10 anos,Não,Não,Concordo,Talvez,Indeciso,Concordo,Concordo,Indeciso,Indeciso,Discordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Indeciso,Indeciso,Discordo Totalmente,Concordo,,
P98,50 anos ou mais,Separado(a) ou divorciado(a),Feminino,Pardo/Mestiço,Ensino Médio (Modalidade Normal/Magistério),Pública,Educador,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Indeciso,Indeciso,Discordo Totalmente,Indeciso,Confuso,Não posso
P99,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Ambas,Educador,5,16 à 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Concordo,Discordo,Concordo,Um caminho a ser trilhado.,Não me sinto preparada no momento para essa resposta.
P100,34 - 41 anos,Separado(a) ou divorciado(a),Feminino,Branco,Especialização,Pública,Supervisor,5,6 à 10 anos,Sim,Não,Concordo,Sim,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Acredito que tem que ter um treinamento para os profissionais ou um profissional especializado para realizar essa prática na educação infantil.,Ser disponibilizado esse recurso em uma sala própria de informática para as crianças acessar jogos educativos.
P101,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Professor Regente,5,16 à 20 anos,Não,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Discordo,Discordo,Discordo Totalmente,Indeciso,Tem que haver muitas adequações.,Resolução de conflitos/desafios coletivamente.
